prop_handle,enum_value,term_value,http_status,passed,notes
off_study_reason,PROTOCOL VIOLATION,PROTOCOL VIOLATION,200,True,
off_study_reason,PROTOCOL-SPECIFIED WITHDRAWAL CRITERION MET,PROTOCOL-SPECIFIED WITHDRAWAL CRITERION MET,200,True,
off_study_reason,RANDOMIZED BY MISTAKE,RANDOMIZED BY MISTAKE,200,True,
off_study_reason,RANDOMIZED BY MISTAKE WITH STUDY TREATMENT,RANDOMIZED BY MISTAKE WITH STUDY TREATMENT,200,True,
off_study_reason,RANDOMIZED BY MISTAKE WITHOUT STUDY TREATMENT,RANDOMIZED BY MISTAKE WITHOUT STUDY TREATMENT,200,True,
off_study_reason,RECOVERY,RECOVERY,200,True,
off_study_reason,REQUIRES PROHIBITED MEDICATION,REQUIRES PROHIBITED MEDICATION,200,True,
off_study_reason,SCREEN FAILURE,SCREEN FAILURE,200,True,
off_study_reason,SCREENING NOT COMPLETED,SCREENING NOT COMPLETED,200,True,
off_study_reason,SITE TERMINATED BY SPONSOR,SITE TERMINATED BY SPONSOR,200,True,
off_study_reason,SPONSOR REQUEST,SPONSOR REQUEST,200,True,
off_study_reason,STUDY TERMINATED BY SPONSOR,STUDY TERMINATED BY SPONSOR,200,True,
off_study_reason,TECHNICAL PROBLEMS,TECHNICAL PROBLEMS,200,True,
off_study_reason,WITHDRAWAL BY PARENT/GUARDIAN,WITHDRAWAL BY PARENT/GUARDIAN,200,True,
off_study_reason,WITHDRAWAL BY SUBJECT,WITHDRAWAL BY SUBJECT,200,True,
off_study_reason,WITHDRAWAL OF ASSENT,WITHDRAWAL OF ASSENT,200,True,
off_study_reason,WITHDRAWAL OF CONSENT,WITHDRAWAL OF CONSENT,200,True,
specimen_type,Bone Marrow Aspirate,Bone Marrow Aspirate,200,True,
specimen_type,Cell Block,Cell Block,200,True,
specimen_type,EDTA Blood,EDTA Blood,200,True,
specimen_type,FFPE Block,FFPE Block,200,True,
specimen_type,Formalin Bone Marrow Biopsy,Formalin Bone Marrow Biopsy,200,True,
specimen_type,Formalin Fixed Tissue,Formalin Fixed Tissue,200,True,
specimen_type,FORMALIN FIXED TISSUE,FORMALIN FIXED TISSUE,200,True,
specimen_type,Snap Frozen Tissue,Snap Frozen Tissue,200,True,
specimen_type,Stained Bone Marrow Aspirate Slide,Stained Bone Marrow Aspirate Slide,200,True,
specimen_type,Streck Blood,Streck Blood,200,True,
specimen_type,Streck Blood to VARI,Streck Blood to VARI,200,True,
specimen_type,Unstained Bone Marrow Aspirate Slide,Unstained Bone Marrow Aspirate Slide,200,True,
specimen_type,Unstained Slide,Unstained Slide,200,True,
specimen_type,Fresh Tissue in Media to PDMR,Fresh Tissue in Media to PDMR,200,True,
specimen_type,Streck Blood to PDMR,Streck Blood to PDMR,200,True,
specimen_category,BLOOD,BLOOD,200,True,
specimen_category,Blood,Blood,200,True,
specimen_category,BONE MARROW,BONE MARROW,200,True,
specimen_category,Bone Marrow,Bone Marrow,200,True,
specimen_category,BUCCAL CELL SAMPLE,BUCCAL CELL SAMPLE,200,True,
specimen_category,CEREBROSPINAL FLUID,CEREBROSPINAL FLUID,200,True,
specimen_category,FORMALIN FIXED PARAFFIN EMBEDDED TISSUE,FORMALIN FIXED PARAFFIN EMBEDDED TISSUE,200,True,
specimen_category,Formalin Fixed Paraffin Embedded Tissue,Formalin Fixed Paraffin Embedded Tissue,200,True,
specimen_category,FORMALIN FIXED TISSUE,FORMALIN FIXED TISSUE,200,True,
specimen_category,Formalin Fixed Tissue,Formalin Fixed Tissue,200,True,
specimen_category,FRESH TISSUE,FRESH TISSUE,200,True,
specimen_category,Fresh Tissue,Fresh Tissue,200,True,
specimen_category,FROZEN TISSUE,FROZEN TISSUE,200,True,
specimen_category,Frozen Tissue,Frozen Tissue,200,True,
specimen_category,OTHER BODILY FLUIDs,OTHER BODILY FLUIDs,200,True,
specimen_category,SALIVA,SALIVA,200,True,
specimen_category,STOOL,STOOL,200,True,
specimen_category,URINE,URINE,200,True,
tissue_category,Metastatic,Metastatic,200,True,
tissue_category,Normal,Normal,200,True,
tissue_category,Primary,Primary,200,True,
tissue_category,Adjacent Non-Tumor,Adjacent Non-Tumor,200,True,
assessment_timepoint,ARCHIVAL,ARCHIVAL,200,True,
assessment_timepoint,BASELINE,BASELINE,200,True,
assessment_timepoint,ON TREATMENT,ON TREATMENT,200,True,
assessment_timepoint,PROGRESSION,PROGRESSION,200,True,
assessment_timepoint,Baseline (Fresh),Baseline (Fresh),200,True,
assessment_timepoint,On Treatment (Fresh),On Treatment (Fresh),200,True,
assessment_timepoint,Archival,Archival,200,True,
assessment_timepoint,Progression (Fresh),Progression (Fresh),200,True,
assessment_timepoint,Post-Treatment (No progression),Post-Treatment (No progression),200,True,
assay_type,Next Generation Sequencing,Next Generation Sequencing,200,True,
assay_type,Immune,Immune,200,True,
assay_type,Cell Based,Cell Based,200,True,
assay_subtype,atacseq,atacseq,200,True,
assay_subtype,rnaseq,rnaseq,200,True,
assay_subtype,scrnaseq,scrnaseq,200,True,
assay_subtype,visium,visium,200,True,
assay_subtype,wes,wes,200,True,
assay_subtype,tcr,tcr,200,True,
assay_subtype,cytof,cytof,200,True,
assay_subtype,elisa,elisa,200,True,
assay_subtype,nulisa,nulisa,200,True,
assay_subtype,cdtdna,cdtdna,200,True,
assay_subtype,olink,olink,200,True,
assay_subtype,ihc,ihc,200,True,
assay_subtype,mibi,mibi,200,True,
assay_subtype,hande,hande,200,True,
assay_subtype,microbiome,microbiome,200,True,
qc_status,pass,pass,200,True,
qc_status,fail,fail,200,True,
sequencing_platform,Illumina NovaSeq 6000,Illumina NovaSeq 6000,200,True,
sequencing_platform,Illumina NextSeq 550,Illumina NextSeq 550,200,True,
sequencing_platform,Illumina HiSeq 4000,Illumina HiSeq 4000,200,True,
sequencing_platform,Illumina HiSeq 2500,Illumina HiSeq 2500,200,True,
sequencing_platform,Illumina HiSeq X Ten,Illumina HiSeq X Ten,200,True,
sequencing_platform,Illumina NextSeq 2000,Illumina NextSeq 2000,200,True,
sequencing_platform,Illumina NovaSeq 500,Illumina NovaSeq 500,200,True,
sequencing_platform,Illumina MiSeq,Illumina MiSeq,200,True,
sequencing_platform,PacBio Sequel II,PacBio Sequel II,200,True,
sequencing_platform,Oxford Nanopore PromethION,Oxford Nanopore PromethION,200,True,
paired_end_sequencing,Yes,Yes,200,True,
paired_end_sequencing,No,No,200,True,
azimuth_reference_genome_version,Human PBMC,Human PBMC,200,True,
azimuth_reference_genome_version,Human Motor Cortex,Human Motor Cortex,200,True,
azimuth_reference_genome_version,Mouse Motor Cortex,Mouse Motor Cortex,200,True,
azimuth_reference_genome_version,Human Pancreas,Human Pancreas,200,True,
azimuth_reference_genome_version,Human Fetal Development,Human Fetal Development,200,True,
azimuth_reference_genome_version,Human Kidney,Human Kidney,200,True,
azimuth_reference_genome_version,Human Bone Marrow,Human Bone Marrow,200,True,
azimuth_reference_genome_version,Human Lung v2 (HLCA),Human Lung v2 (HLCA),200,True,
azimuth_reference_genome_version,Human Adipose,Human Adipose,200,True,
azimuth_reference_genome_version,Human Heart,Human Heart,200,True,
azimuth_reference_genome_version,Human Liver,Human Liver,200,True,
azimuth_reference_genome_version,Human Tonsil v2,Human Tonsil v2,200,True,
azimuth_reference_genome_version,Mouse Pansci,Mouse Pansci,200,True,
azimuth_reference_genome_version,None,None,200,True,
tabula_sapiens_reference_genome_version,Tabula Sapiens v1.0,Tabula Sapiens v1.0,200,True,
tabula_sapiens_reference_genome_version,Tabula Sapiens v2.0,Tabula Sapiens v2.0,200,True,
tabula_sapiens_reference_genome_version,None,None,200,True,
antigen_type,Protein,Protein,200,True,
antigen_type,Peptide,Peptide,200,True,
antigen_type,RNA,RNA,200,True,
antigen_type,Other,Other,200,True,
positive_cell_detection,Proprietary,Proprietary,200,True,
positive_cell_detection,Random Forest Classifier,Random Forest Classifier,200,True,
positive_cell_detection,Other,Other,200,True,
data_file_type,Clinical Report,Clinical Report,200,True,
data_file_type,File Collection,File Collection,200,True,
data_file_type,Investigator Report,Investigator Report,200,True,
data_file_type,Variant Call File,Variant Call File,200,True,
data_file_type,Variant Report,Variant Report,200,True,
data_file_type,Radiology Images,Radiology Images,200,True,
data_file_format,docx,docx,200,True,
data_file_format,gz,gz,200,True,
data_file_format,pdf,pdf,200,True,
data_file_format,vcf,vcf,200,True,
data_file_format,zip,zip,200,True,
data_file_format,dcm,dcm,200,True,
data_file_checksum_type,md5sum,md5sum,200,True,
data_file_checksum_type,sha1,sha1,200,True,
data_file_checksum_type,sha256,sha256,200,True,
data_file_compression_status,Compressed,Compressed,200,True,
data_file_compression_status,Uncompressed,Uncompressed,200,True,
data_file_compression_status,Unknown,Unknown,200,True,
