prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
ctep_disease_term,Esophageal Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
ctep_disease_term,Fallopian Tube Carcinoma,,The coded response indicating the MedDRA code Version 10 used in the NCI Simplified Disease Classification (SDC) Terminology for diagnoses. <br> CDE ID 4723846,,,
meddra_disease_code,10000884,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10066354,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10010029,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10006190,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10053571,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10029514,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10033159,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10028566,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10036910,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10041071,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10017760,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10030157,,The MedDRA code describing a medical condition and/or anatomic location.,,,
meddra_disease_code,10016180,,The MedDRA code describing a medical condition and/or anatomic location.,,,
snomed_disease_term,Acute Myeloid Leukemia,,Description pending,,,
snomed_disease_term,Acute Myeloid Leukemia with Myelodysplasia-Related Changes,,Description pending,,,
snomed_disease_term,Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome,,Description pending,,,
snomed_disease_term,Adenocarcinoma,,Description pending,,,
snomed_disease_term,Amelanotic Melanoma,,Description pending,,,
snomed_disease_term,Breast Carcinoma,,Description pending,,,
snomed_disease_term,Colon Adenoma,,Description pending,,,
snomed_disease_term,Colon Carcinoma,,Description pending,,,
snomed_disease_term,Colorectal Adenocarcinoma,,Description pending,,,
snomed_disease_term,Cutaneous Melanoma,,Description pending,,,
snomed_disease_term,Epithelioid Cell Melanoma,,Description pending,,,
snomed_disease_term,Esophageal Adenocarcinoma,,Description pending,,,
snomed_disease_term,Esophageal Carcinoma,,Description pending,,,
snomed_disease_term,Fallopian Tube Carcinoma,,Description pending,,,
snomed_disease_term,Gastric Adenocarcinoma,,Description pending,,,
snomed_disease_term,"Invasive Ductal Carcinoma, Not Otherwise Specified",,Description pending,,,
snomed_disease_term,Invasive Lobular Breast Carcinoma,,Description pending,,,
snomed_disease_term,Lung Carcinoma,,Description pending,,,
snomed_disease_term,Lung Papillary Adenoma,,Description pending,,,
snomed_disease_term,Lung Adenocarcinoma,,Description pending,,,
snomed_disease_term,Malignant neoplasm of ovary,,Description pending,,,
snomed_disease_term,Melanoma,,Description pending,,,
snomed_disease_term,Mucinous Adenocarcinoma,,Description pending,,,
snomed_disease_term,Multiple myeloma,,Description pending,,,
snomed_disease_term,Multiple myeloma and immunoproliferative disease,,Description pending,,,
snomed_disease_term,Neuroendocrine Carcinoma,,Description pending,,,
snomed_disease_term,Nodular Melanoma,,Description pending,,,
snomed_disease_term,Non-Small Cell Lung Carcinoma,,Description pending,,,
snomed_disease_term,Ovarian Carcinoma,,Description pending,,,
snomed_disease_term,Plasma Cell Leukemia,,Description pending,,,
snomed_disease_term,Plasma Cell Myeloma,,Description pending,,,
snomed_disease_term,Prostate Adenocarcinoma,,Description pending,,,
snomed_disease_term,Prostate Carcinoma,,Description pending,,,
snomed_disease_term,Rectal Adenoma,,Description pending,,,
snomed_disease_term,Rectal Carcinoma,,Description pending,,,
snomed_disease_term,Small Cell Carcinoma,,Description pending,,,
snomed_disease_term,Small Cell Lung Carcinoma,,Description pending,,,
snomed_disease_term,Squamous Cell Carcinoma,,Description pending,,,
snomed_disease_term,Squamous Cell Lung Carcinoma,,Description pending,,,
snomed_disease_term,Superficial Spreading Melanoma,,Description pending,,,
snomed_disease_term,Triple-Negative Breast Carcinoma,,Description pending,,,
snomed_disease_term,Anal Carcinoma,,Description pending,,,
snomed_disease_term,Invasive Ductal Carcinoma,,Description pending,,,
snomed_disease_term,Mixed Lobular and Ductal Breast Carcinoma,,Description pending,,,
snomed_disease_term,Female Breast Carcinoma,,Description pending,,,
snomed_disease_code,17788007,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,445448008,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,128827005,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,35917007,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,443961001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,70594002,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,254838004,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,428054006,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,269533000,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,408645001,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,93655004,,A 9-digit numerical code for the primary disease with which the participant,,,
snomed_disease_code,37138001,,A 9-digit numerical code for the primary disease with which the participant,,,
